date,id,deptime,arrtime,price,direction
2023-08-01,0,06:20,07:20,70600,go
2023-08-01,0,06:20,07:20,98700,go
2023-08-01,1,07:00,08:05,81700,go
2023-08-01,1,07:00,08:05,110700,go
2023-08-01,1,07:00,08:05,170700,go
2023-08-01,2,07:20,08:25,76340,go
2023-08-01,2,07:20,08:25,98700,go
2023-08-01,1,08:05,09:10,81700,go
2023-08-01,1,08:05,09:10,110700,go
2023-08-01,2,08:40,09:40,80640,go
2023-08-01,2,08:40,09:40,98700,go
2023-08-01,1,09:00,10:05,91700,go
2023-08-01,1,09:00,10:05,110700,go
2023-08-01,2,09:40,10:40,89240,go
2023-08-01,2,09:40,10:40,98700,go
2023-08-01,1,10:25,11:30,101700,go
2023-08-01,1,10:25,11:30,110700,go
2023-08-01,1,10:25,11:30,170700,go
2023-08-01,2,11:00,12:00,89240,go
2023-08-01,2,11:00,12:00,98700,go
2023-08-01,3,11:40,12:40,86000,go
2023-08-01,3,11:40,12:40,98700,go
2023-08-01,2,12:00,13:05,89240,go
2023-08-01,2,12:00,13:05,98700,go
2023-08-01,1,12:20,13:25,101700,go
2023-08-01,1,12:20,13:25,110700,go
2023-08-01,2,12:50,13:50,90960,go
2023-08-01,2,12:50,13:50,98700,go
2023-08-01,1,14:00,15:05,91700,go
2023-08-01,1,14:00,15:05,110700,go
2023-08-01,1,14:00,15:05,170700,go
2023-08-01,2,14:20,15:25,86660,go
2023-08-01,2,14:20,15:25,98700,go
2023-08-01,3,14:50,15:50,82000,go
2023-08-01,3,14:50,15:50,98700,go
2023-08-01,2,15:40,16:40,86660,go
2023-08-01,2,15:40,16:40,98700,go
2023-08-01,1,16:00,17:05,81700,go
2023-08-01,1,16:00,17:05,110700,go
2023-08-01,2,16:40,17:40,86660,go
2023-08-01,2,16:40,17:40,98700,go
2023-08-01,1,17:20,18:25,101700,go
2023-08-01,1,17:20,18:25,110700,go
2023-08-01,1,17:20,18:25,170700,go
2023-08-01,2,17:40,18:40,97840,go
2023-08-01,2,17:40,18:40,98700,go
2023-08-01,3,18:20,19:20,82000,go
2023-08-01,3,18:20,19:20,98700,go
2023-08-01,2,19:00,20:00,84940,go
2023-08-01,2,19:00,20:00,98700,go
2023-08-01,1,19:25,20:35,81700,go
2023-08-01,1,19:25,20:35,110700,go
2023-08-01,4,19:40,20:40,78600,go
2023-08-01,4,19:40,20:40,100700,go
2023-08-01,0,19:45,20:45,80600,go
2023-08-01,0,19:45,20:45,98700,go
2023-08-01,4,20:05,21:05,78600,go
2023-08-01,4,20:05,21:05,100700,go
2023-08-01,2,20:20,21:35,97840,go
2023-08-01,2,20:20,21:35,98700,go
2023-08-02,0,06:20,07:20,75600,go
2023-08-02,0,06:20,07:20,98700,go
2023-08-02,1,07:00,08:05,91700,go
2023-08-02,1,07:00,08:05,110700,go
2023-08-02,1,07:00,08:05,170700,go
