name,star,img,link
라마다 앙코르 바이 윈덤 부산역,8.4,https://search.pstatic.net/common/?src=https://media.datahc.com/HI761531350.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ARamada_Encore_by_Wyndham_Busan_Station&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
티티호텔,8.5,https://search.pstatic.net/common/?src=https://media.datahc.com/HI577468369.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AHotel_tt_Busan&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
부산 비즈니스 호텔,8.6,https://search.pstatic.net/common/?src=https://media.datahc.com/HI379925856.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABusan_Business_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
아난티 힐튼 부산,8.6,https://search.pstatic.net/common/?src=https://media.datahc.com/HI568032102.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AAnanti_Hilton_Busan&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
그랩 디 오션 송도,8.2,https://search.pstatic.net/common/?src=https://media.datahc.com/HI799497962.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AGrab_The_Ocean_Songdo&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
페어필드 바이 메리어트 부산,8.1,https://search.pstatic.net/common/?src=https://media.datahc.com/HI563760476.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AFairfield_by_Marriott_Busan&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
펠릭스 호텔 바이 STX,8.3,https://search.pstatic.net/common/?src=https://media.datahc.com/HI606387473.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AFelix_Hotel_by_STX&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
해운대 썬클라우드호텔,7.7,https://search.pstatic.net/common/?src=https://media.datahc.com/HI779791462.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AHaeundae_Suncloud_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
켄트호텔 광안리 by 켄싱턴,8.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI608725616.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AKent_Hotel_Gwangalli_by_Kensington&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
솔라리아 니시테츠 호텔 부산,8.6,https://search.pstatic.net/common/?src=https://media.datahc.com/HI378222514.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ASolaria_Nishitetsu_Hotel_Busan&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
