name,star,img,link
더펜션 502,9.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI690793827.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABusan_The_Pension_502&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
일광 라고마르 펜션,-1.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI748959323.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ADaylight_Lagomar_Pension&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
해오름펜션,9.6,https://search.pstatic.net/common/?src=https://media.datahc.com/HI771712098.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABusan_captain_haeohreum_Pension&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
에스스테이펜션,-1.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI563750471.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AS_Stay_Pension&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
부산 비엔비 펜션 & 패밀리 호텔,8.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI528583522.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABusan_BnB_Pension_Family_Hotel&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
그레이샌즈 풀빌라 펜션,5.4,https://search.pstatic.net/common/?src=https://media.datahc.com/HI771751043.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AGRAY_SANDS_POOLVILLA_PENSION&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
브라운도트펜션,8.1,https://search.pstatic.net/common/?src=https://media.datahc.com/HI612227831.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABusan_Brown_Dot_Pension&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
드림하우스,-1.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI612227608.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABusan_Dream_House_Pension&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
알로하펜션,-1.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI776246465.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AAloha_Pension_Busan&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
오시리아펜션,-1.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI612203124.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABusan_Osiria_Pension&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
알리바바펜션,-1.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI612160157.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AAlibaba_Pension_Busan&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
오투펜션,-1.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI584771690.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABusan_O2_Pension&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
J&J 펜션,-1.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI612220465.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABusan_J_J_House_Pension&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
가온펜션,-1.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI612174362.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABusan_Gaon_Pension_Sunrise_Spot_Sea_Fishing_MD_Recommended&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
펜션 채움,8.4,https://search.pstatic.net/common/?src=https://media.datahc.com/HI776237429.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABusan_Pension_Chaeum&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
펜션드리머,8.7,https://search.pstatic.net/common/?src=https://media.datahc.com/HI684770611.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABusan_Pension_Dreamers&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
고운학리펜션,-1.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI778897064.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABusan_GounhakriPension&adultCnt=2&checkIn=2023-08-01&checkOut=2023-08-02&includeTax=true
앙스모멍 펜션,-1.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI612206033.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AEncemoment&adultCnt=2&checkIn=2023-08-02&checkOut=2023-08-03&includeTax=true
이너피스 펜션,-1.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI612237513.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3APension_Busan_Inner_Peace&adultCnt=2&checkIn=2023-08-02&checkOut=2023-08-03&includeTax=true
부산 아라하우스 펜션,-1.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI612160539.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AArahouse_Pension&adultCnt=2&checkIn=2023-08-02&checkOut=2023-08-03&includeTax=true
반딧불이 펜션,-1.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI612159484.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3AFirefly_Pension&adultCnt=2&checkIn=2023-08-03&checkOut=2023-08-04&includeTax=true
시랑리 129 펜션,-1.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI772800311.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ASirangri_129_Pension&adultCnt=2&checkIn=2023-08-03&checkOut=2023-08-04&includeTax=true
서랑펜션,10.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI586479921.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ASeorang_Pension&adultCnt=2&checkIn=2023-08-03&checkOut=2023-08-04&includeTax=true
다란향,-1.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI773601113.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ABusan_Daranhyang_Guesthouse&adultCnt=2&checkIn=2023-08-03&checkOut=2023-08-04&includeTax=true
송정로뎀나무펜션,-1.0,https://search.pstatic.net/common/?src=https://media.datahc.com/HI775253820.jpg&type=f320_240_hotel,https://hotels.naver.com/item?hotelFileName=hotel%3ARodem_Namu_Pension&adultCnt=2&checkIn=2023-08-06&checkOut=2023-08-07&includeTax=true
