date,name,saled_price,capacity,type
2023-08-01,캐스퍼,79200,4,가솔린
2023-08-01,더 뉴 K3,79800,4,가솔린
2023-08-01,아반떼 AD ,79800,4,가솔린
2023-08-01,올 뉴 아반떼,79800,4,가솔린
2023-08-01,INTERACTIVE K5,123600,4,가솔린
2023-08-01,볼트,72100,4,전기차
2023-08-01,쏘나타 DN8,123600,4,가솔린
2023-08-01,INTERACTIVE K5,127200,4,하이브리드
2023-08-01,THE ALL NEW NIRO,130800,4,하이브리드
2023-08-01,니로,98100,4,전기차
2023-08-01,EV6 2WD,145200,4,전기차
2023-08-01,스포티지 NQ5 2WD,158400,4,하이브리드
2023-08-01,스포티지 NQ5 2WD 1.6T,158400,4,가솔린
2023-08-01,더 뉴 그랜드 스타렉스,174000,9,디젤
2023-08-01,더 뉴 싼타페 2WD,178200,5,디젤
2023-08-01,스타리아,182400,1,디젤
2023-08-01,카니발 KA4,196200,9,디젤
2023-08-01,EV6 4WD,198000,4,전기차
2023-08-01,K8 2.5,207000,4,가솔린
2023-08-01,더 뉴 그랜저 2.4,217800,4,하이브리드
2023-08-01,더 뉴 그랜저 3.3,225000,4,가솔린
2023-08-01,All New G80 2.5,289800,4,가솔린
2023-08-01,G90 3.8,348000,4,가솔린
2023-08-01,ALL NEW K3,72600,4,가솔린
2023-08-01,더 뉴 그랜드 스타렉스,159600,1,디젤
2023-08-01,쏘렌토 MQ4,178200,5,하이브리드
2023-08-01,더 뉴 카니발,196200,9,디젤
2023-08-01,팰리세이드 2WD,224400,7,디젤
2023-08-01,GV80 4WD,327000,5,디젤
2023-08-02,더 뉴 K3,79800,4,가솔린
2023-08-02,올 뉴 아반떼,79800,4,가솔린
2023-08-02,INTERACTIVE K5,123600,4,가솔린
2023-08-02,볼트,72100,4,전기차
2023-08-02,쏘나타 DN8,123600,4,가솔린
2023-08-02,INTERACTIVE K5,127200,4,하이브리드
2023-08-02,THE ALL NEW NIRO,130800,4,하이브리드
2023-08-02,니로,98100,4,전기차
2023-08-02,EV6 2WD,145200,4,전기차
2023-08-02,스포티지 NQ5 2WD,158400,4,하이브리드
2023-08-02,스포티지 NQ5 2WD 1.6T,158400,4,가솔린
2023-08-02,더 뉴 그랜드 스타렉스,174000,9,디젤
2023-08-02,더 뉴 싼타페 2WD,178200,5,디젤
2023-08-02,스타리아,182400,1,디젤
2023-08-02,카니발 KA4,196200,9,디젤
2023-08-02,EV6 4WD,198000,4,전기차
2023-08-02,더 뉴 그랜저 2.4,217800,4,하이브리드
2023-08-02,더 뉴 그랜저 3.3,225000,4,가솔린
2023-08-02,All New G80 2.5,289800,4,가솔린
2023-08-02,G90 3.8,348000,4,가솔린
2023-08-02,ALL NEW K3,72600,4,가솔린
2023-08-02,캐스퍼,79200,4,가솔린
2023-08-02,아반떼 AD ,79800,4,가솔린
2023-08-02,더 뉴 그랜드 스타렉스,159600,1,디젤
2023-08-02,쏘렌토 MQ4,178200,5,하이브리드
2023-08-02,더 뉴 카니발,196200,9,디젤
2023-08-02,K8 2.5,207000,4,가솔린
2023-08-02,팰리세이드 2WD,224400,7,디젤
2023-08-02,GV80 4WD,327000,5,디젤
2023-08-03,더 뉴 K3,79800,4,가솔린
2023-08-03,올 뉴 아반떼,79800,4,가솔린
2023-08-03,INTERACTIVE K5,123600,4,가솔린
2023-08-03,볼트,72100,4,전기차
2023-08-03,쏘나타 DN8,123600,4,가솔린
2023-08-03,INTERACTIVE K5,127200,4,하이브리드
2023-08-03,니로,98100,4,전기차
2023-08-03,EV6 2WD,145200,4,전기차
2023-08-03,스포티지 NQ5 2WD,158400,4,하이브리드
2023-08-03,스포티지 NQ5 2WD 1.6T,158400,4,가솔린
2023-08-03,더 뉴 그랜드 스타렉스,174000,9,디젤
2023-08-03,더 뉴 싼타페 2WD,178200,5,디젤
2023-08-03,스타리아,182400,1,디젤
2023-08-03,EV6 4WD,198000,4,전기차
2023-08-03,더 뉴 그랜저 2.4,217800,4,하이브리드
2023-08-03,더 뉴 그랜저 3.3,225000,4,가솔린
2023-08-03,All New G80 2.5,289800,4,가솔린
2023-08-03,G90 3.8,348000,4,가솔린
2023-08-03,ALL NEW K3,72600,4,가솔린
2023-08-03,캐스퍼,79200,4,가솔린
2023-08-03,아반떼 AD ,79800,4,가솔린
2023-08-03,THE ALL NEW NIRO,130800,4,하이브리드
2023-08-03,더 뉴 그랜드 스타렉스,159600,1,디젤
2023-08-03,쏘렌토 MQ4,178200,5,하이브리드
2023-08-03,더 뉴 카니발,196200,9,디젤
2023-08-03,카니발 KA4,196200,9,디젤
2023-08-03,K8 2.5,207000,4,가솔린
2023-08-03,팰리세이드 2WD,224400,7,디젤
2023-08-03,GV80 4WD,327000,5,디젤
2023-08-04,더 뉴 K3,79800,4,가솔린
2023-08-04,올 뉴 아반떼,79800,4,가솔린
2023-08-04,INTERACTIVE K5,123600,4,가솔린
2023-08-04,볼트,72100,4,전기차
2023-08-04,쏘나타 DN8,123600,4,가솔린
2023-08-04,INTERACTIVE K5,127200,4,하이브리드
2023-08-04,니로,98100,4,전기차
2023-08-04,EV6 2WD,145200,4,전기차
2023-08-04,스포티지 NQ5 2WD,158400,4,하이브리드
2023-08-04,스포티지 NQ5 2WD 1.6T,158400,4,가솔린
2023-08-04,더 뉴 그랜드 스타렉스,174000,9,디젤
2023-08-04,더 뉴 싼타페 2WD,178200,5,디젤
2023-08-04,스타리아,182400,1,디젤
2023-08-04,EV6 4WD,198000,4,전기차
2023-08-04,더 뉴 그랜저 2.4,217800,4,하이브리드
2023-08-04,팰리세이드 2WD,224400,7,디젤
2023-08-04,더 뉴 그랜저 3.3,225000,4,가솔린
2023-08-04,All New G80 2.5,289800,4,가솔린
2023-08-04,G90 3.8,348000,4,가솔린
2023-08-04,ALL NEW K3,72600,4,가솔린
2023-08-04,캐스퍼,79200,4,가솔린
2023-08-04,아반떼 AD ,79800,4,가솔린
2023-08-04,THE ALL NEW NIRO,130800,4,하이브리드
2023-08-04,더 뉴 그랜드 스타렉스,159600,1,디젤
2023-08-04,쏘렌토 MQ4,178200,5,하이브리드
2023-08-04,더 뉴 카니발,196200,9,디젤
2023-08-04,카니발 KA4,196200,9,디젤
2023-08-04,K8 2.5,207000,4,가솔린
2023-08-04,GV80 4WD,327000,5,디젤
2023-08-05,더 뉴 K3,86450,4,가솔린
2023-08-05,아반떼 AD ,86450,4,가솔린
2023-08-05,올 뉴 아반떼,86450,4,가솔린
2023-08-05,INTERACTIVE K5,133900,4,가솔린
2023-08-05,볼트,72100,4,전기차
2023-08-05,쏘나타 DN8,133900,4,가솔린
2023-08-05,INTERACTIVE K5,137800,4,하이브리드
2023-08-05,니로,98100,4,전기차
2023-08-05,EV6 2WD,157300,4,전기차
2023-08-05,스포티지 NQ5 2WD,171600,4,하이브리드
2023-08-05,스포티지 NQ5 2WD 1.6T,171600,4,가솔린
2023-08-05,더 뉴 그랜드 스타렉스,188500,9,디젤
2023-08-05,스타리아,197600,1,디젤
2023-08-05,카니발 KA4,212550,9,디젤
